H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State, Id,X,Y,year,District,Party,Total_YEA,Total_NAY
,Nugent,,,,Olson,,,,,,,,,,,,Olson,,,,Pearce,,,,,,,,,,,,,,,,Schakowsky,,,,Rothfus,,,,,,,,,,,,Pittenger,,,,Poliquin,,,"Representative Mitchell, Paul",Michigan,26,,,House: 2017-Present,10,Republican,,
,Nunes,,,,Palazzo,,,,,,,,,,,,Palazzo,,,,Pelosi,,,,,,,,,,,,,,,,Schiff,,,,Rouzer,,,,,,,,,,,,Pocan,,,,Polis,,,"Representative Mooney, Alexander X.",West Virginia,54,,,House: 2015-Present,2,Republican,,
,O'Rourke,,,,Pallone,,,,,,,,,,,,Pallone,,,,Perlmutter,,,,,,,,,,,,,,,,Schneider,,,,Royce (CA),,,,,,,,,,,,Poe (TX),,,,Posey,,,"Representative Moore, Gwen",Wisconsin,55,,,House: 2005-Present,4,Democratic,,
,Olson,,,,Palmer,,,,,,,,,,,,Palmer,,,,Perry,,,,,,,,,,,,,,,,Schweikert,,,,Ruiz,,,,,,,,,,,,Poliquin,,,,Price (NC),,,"Representative Morelle, Joseph D.",New York,36,,,House: 2018-Present,25,Democratic,,
,Palazzo,,,,Pascrell,,,,,,,,,,,,Pascrell,,,,Peters,,,,,,,,,,,,,,,,Scott (VA),,,,Ruppersberger,,,,,,,,,,,,Polis,,,,Quigley,,,"Representative Moulton, Seth",Massachusetts,25,,,House: 2015-Present,6,Democratic,,
,Pallone,,,,Paulsen,,,,,,,,,,,,Paulsen,,,,Peterson,,,,,,,,,,,,,,,,"Scott, Austin",,,,Russell,,,,,,,,,,,,Posey,,,,Raskin,,,"Representative Mucarsel-Powell, Debbie",Florida,12,,,House: 2019-Present,26,Democratic,0,0
,Palmer,,,,Payne,,,,,,,,,,,,Payne,,,,Pingree,,,,,,,,,,,,,,,,"Scott, David",,,,Rutherford,,,,,,,,,,,,Price (NC),,,,Reed,,,"Representative Mullin, Markwayne",Oklahoma,40,,,House: 2013-Present,2,Republican,,
,Pascrell,,,,Pearce,,,,,,,,,,,,Pearce,,,,Pittenger,,,,,,,,,,,,,,,,Sensenbrenner,,,,Ryan (OH),,,,,,,,,,,,Quigley,,,,Reichert,,,"Representative Murphy, Stephanie N.",Florida,12,,,House: 2017-Present,7,Democratic,,
,Paulsen,,,,Pelosi,,,,,,,,,,,,Pelosi,,,,Pocan,,,,,,,,,,,,,,,,Serrano,,,,Sánchez,,,,,,,,,,,,Raskin,,,,Renacci,,,"Representative Nadler, Jerrold",New York,36,,,House: 1991-Present,10,Democratic,,
,Payne,,,,Perlmutter,,,,,,,,,,,,Perlmutter,,,,Poe (TX),,,,,,,,,,,,,,,,Sessions,,,,Sanford,,,,,,,,,,,,Ratcliffe,,,,Rice (NY),,,"Representative Napolitano, Grace F.",California,6,-117.8842514,34.09176758,House: 1999-Present,32,Democratic,,
,Pearce,,,,Perry,,,,,,,,,,,,Perry,,,,Poliquin,,,,,,,,,,,,,,,,Shea-Porter,,,,Sarbanes,,,,,,,,,,,,Reed,,,,Rice (SC),,,"Representative Neal, Richard E.",Massachusetts,25,,,House: 1989-Present,1,Democratic,,
,Pelosi,,,,Peters,,,,,,,,,,,,Peters,,,,Polis,,,,,,,,,,,,,,,,Sherman,,,,Scalise,,,,,,,,,,,,Reichert,,,,Richmond,,,"Representative Neguse, Joe",Colorado,8,,,House: 2019-Present,2,Democratic,0,0
,Perlmutter,,,,Peterson,,,,,,,,,,,,Peterson,,,,Posey,,,,,,,,,,,,,,,,Shimkus,,,,Schiff,,,,,,,,,,,,Renacci,,,,Roby,,,"Representative Newhouse, Dan",Washington,53,,,House: 2015-Present,4,Republican,,
,Perry,,,,Pingree,,,,,,,,,,,,Pingree,,,,Price (NC),,,,,,,,,,,,,,,,Shuster,,,,Schneider,,,,,,,,,,,,Rice (NY),,,,Roe (TN),,,"Representative Norcross, Donald",New Jersey,34,,,House: 2014-Present,1,Democratic,,
,Peters,,,,Pittenger,,,,,,,,,,,,Pittenger,,,,Quigley,,,,,,,,,,,,,,,,Sinema,,,,Schrader,,,,,,,,,,,,Rice (SC),,,,Rogers (AL),,,"Representative Norman, Ralph",South Carolina,45,,,House: 2017-Present,5,Republican,,
,Peterson,,,,Pocan,,,,,,,,,,,,Pitts,,,,Raskin,,,,,,,,,,,,,,,,Sires,,,,Schweikert,,,,,,,,,,,,Richmond,,,,Rokita,,,"Representative Norton, Eleanor Holmes",District of Columbia,11,,,House: 1991-Present,,Democratic,,
,Pingree,,,,Poe (TX),,,,,,,,,,,,Pocan,,,,Ratcliffe,,,,,,,,,,,,,,,,Smith (MO),,,,"Scott, Austin",,,,,,,,,,,,Roby,,,,"Rooney, Francis",,,"Representative Nunes, Devin",California,6,-119.3806481,36.52775451,House: 2003-Present,22,Republican,,
,Pittenger,,,,Poliquin,,,,,,,,,,,,Poe (TX),,,,Reichert,,,,,,,,,,,,,,,,Smith (NE),,,,"Scott, David",,,,,,,,,,,,Roe (TN),,,,"Rooney, Thomas J.",,,"Representative O'Halleran, Tom",Arizona,4,,,House: 2017-Present,1,Democratic,,
,Pocan,,,,Polis,,,,,,,,,,,,Poliquin,,,,Renacci,,,,,,,,,,,,,,,,Smith (NJ),,,,Sensenbrenner,,,,,,,,,,,,Rogers (AL),,,,Ros-Lehtinen,,,"Representative Ocasio-Cortez, Alexandria",New York,36,,,House: 2019-Present,14,Democratic,0,0
,Poe (TX),,,,Pompeo,,,,,,,,,,,,Polis,,,,Rice (NY),,,,,,,,,,,,,,,,Smith (TX),,,,Serrano,,,,,,,,,,,,Rogers (KY),,,,Rosen,,,"Representative Olson, Pete",Texas,48,-95.773941,29.5254275,House: 2009-Present,22,Republican,,
,Poliquin,,,,Posey,,,,,,,,,,,,Pompeo,,,,Rice (SC),,,,,,,,,,,,,,,,Smith (WA),,,,Sessions,,,,,,,,,,,,Rokita,,,,Roskam,,,"Representative Omar, Ilhan",Minnesota,27,,,House: 2019-Present,5,Democratic,0,0
,Polis,,,,Price (NC),,,,,,,,,,,,Posey,,,,Richmond,,,,,,,,,,,,,,,,Smucker,,,,Sewell (AL),,,,,,,,,,,,Ros-Lehtinen,,,,Rothfus,,,"Representative Palazzo, Steven M.",Mississippi,28,,,House: 2011-Present,4,Republican,,
,Pompeo,,,,"Price, Tom",,,,,,,,,,,,Price (NC),,,,Roby,,,,,,,,,,,,,,,,Soto,,,,Shea-Porter,,,,,,,,,,,,Rosen,,,,Rouzer,,,"Representative Pallone, Frank, Jr.",New Jersey,34,,,House: 1987-Present,6,Democratic,,
,Posey,,,,Quigley,,,,,,,,,,,,"Price, Tom",,,,Roe (TN),,,,,,,,,,,,,,,,Speier,,,,Sherman,,,,,,,,,,,,Ross,,,,Roybal-Allard,,,"Representative Palmer, Gary J.",Alabama,1,,,House: 2015-Present,6,Republican,,
,Price (NC),,,,Rangel,,,,,,,,,,,,Quigley,,,,Rogers (AL),,,,,,,,,,,,,,,,Stefanik,,,,Shimkus,,,,,,,,,,,,Rothfus,,,,Royce (CA),,,"Representative Panetta, Jimmy",California,6,-121.2589827,36.441749,House: 2017-Present,20,Democratic,,
,"Price, Tom",,,,Ratcliffe,,,,,,,,,,,,Rangel,,,,Rogers (KY),,,,,,,,,,,,,,,,Stewart,,,,Shuster,,,,,,,,,,,,Rouzer,,,,Ruiz,,,"Representative Pappas, Chris",New Hampshire,33,,,House: 2019-Present,1,Democratic,0,0
,Quigley,,,,Reed,,,,,,,,,,,,Ratcliffe,,,,Rohrabacher,,,,,,,,,,,,,,,,Suozzi,,,,Simpson,,,,,,,,,,,,Roybal-Allard,,,,Ruppersberger,,,"Representative Pascrell, Bill, Jr.",New Jersey,34,,,House: 1997-Present,9,Democratic,,
,Rangel,,,,Reichert,,,,,,,,,,,,Reed,,,,"Rooney, Francis",,,,,,,,,,,,,,,,Swalwell (CA),,,,Sinema,,,,,,,,,,,,Royce (CA),,,,Russell,,,"Representative Payne, Donald M., Jr.",New Jersey,34,,,House: 2012-Present,10,Democratic,,
,Ratcliffe,,,,Renacci,,,,,,,,,,,,Reichert,,,,Ros-Lehtinen,,,,,,,,,,,,,,,,Takano,,,,Sires,,,,,,,,,,,,Ruiz,,,,Rutherford,,,"Representative Pelosi, Nancy",California,6,-122.4456941,37.76207836,House: 1987-Present,12,Democratic,,
,Reed,,,,Ribble,,,,,,,,,,,,Renacci,,,,Rosen,,,,,,,,,,,,,,,,Taylor,,,,Smith (MO),,,,,,,,,,,,Ruppersberger,,,,Ryan (OH),,,"Representative Pence, Greg",Indiana,18,-85.38335621,39.48587799,House: 2019-Present,6,Republican,0,0
,Reichert,,,,Rice (NY),,,,,,,,,,,,Ribble,,,,Roskam,,,,,,,,,,,,,,,,Tenney,,,,Smith (NE),,,,,,,,,,,,Rush,,,,Sánchez,,,"Representative Perlmutter, Ed",Colorado,8,,,House: 2007-Present,7,Democratic,,
,Renacci,,,,Rice (SC),,,,,,,,,,,,Rice (NY),,,,Ross,,,,,,,,,,,,,,,,Thompson (CA),,,,Smith (NJ),,,,,,,,,,,,Russell,,,,Sanford,,,"Representative Perry, Scott",Pennsylvania,42,,,House: 2013-Present,10,Republican,,
,Ribble,,,,Richmond,,,,,,,,,,,,Rice (SC),,,,Rothfus,,,,,,,,,,,,,,,,Thompson (PA),,,,Smith (TX),,,,,,,,,,,,Rutherford,,,,Sarbanes,,,"Representative Peters, Scott H.",California,6,-117.13748,32.84992273,House: 2013-Present,52,Democratic,,
,Rice (NY),,,,Rigell,,,,,,,,,,,,Richmond,,,,Rouzer,,,,,,,,,,,,,,,,Thornberry,,,,Smucker,,,,,,,,,,,,Ryan (OH),,,,Scalise,,,"Representative Peterson, Collin C.",Minnesota,27,,,House: 1991-Present,7,Democratic,,
,Rice (SC),,,,Roby,,,,,,,,,,,,Rigell,,,,Roybal-Allard,,,,,,,,,,,,,,,,Tipton,,,,Soto,,,,,,,,,,,,Sánchez,,,,Schakowsky,,,"Representative Phillips, Dean",Minnesota,27,,,House: 2019-Present,3,Democratic,0,0
,Richmond,,,,Roe (TN),,,,,,,,,,,,Roby,,,,Royce (CA),,,,,,,,,,,,,,,,Titus,,,,Speier,,,,,,,,,,,,Sarbanes,,,,Schiff,,,"Representative Pingree, Chellie",Maine,23,,,House: 2009-Present,1,Democratic,,
,Rigell,,,,Rogers (AL),,,,,,,,,,,,Roe (TN),,,,Ruiz,,,,,,,,,,,,,,,,Tonko,,,,Stefanik,,,,,,,,,,,,Scalise,,,,Schneider,,,"Representative Plaskett, Stacey E.",Virgin Islands,,,,House: 2015-Present,,Democratic,,
,Roby,,,,Rogers (KY),,,,,,,,,,,,Rogers (AL),,,,Ruppersberger,,,,,,,,,,,,,,,,Torres,,,,Stewart,,,,,,,,,,,,Schakowsky,,,,Schrader,,,"Representative Pocan, Mark",Wisconsin,55,,,House: 2013-Present,2,Democratic,,
,Roe (TN),,,,Rohrabacher,,,,,,,,,,,,Rogers (KY),,,,Rush,,,,,,,,,,,,,,,,Trott,,,,Stivers,,,,,,,,,,,,Schiff,,,,Scott (VA),,,"Representative Price, David E.",North Carolina,37,,,"House: 1987-1995, 1997-Present",4,Democratic,,
,Rogers (AL),,,,Rokita,,,,,,,,,,,,Rokita,,,,Russell,,,,,,,,,,,,,,,,Turner,,,,Suozzi,,,,,,,,,,,,Schneider,,,,"Scott, Austin",,,"Representative Quigley, Mike",Illinois,17,,,House: 2009-Present,5,Democratic,,
,Rogers (KY),,,,Rooney (FL),,,,,,,,,,,,Ros-Lehtinen,,,,Rutherford,,,,,,,,,,,,,,,,Upton,,,,Swalwell (CA),,,,,,,,,,,,Schrader,,,,"Scott, David",,,"Representative Radewagen, Aumua Amata Coleman",American Samoa,,,,House: 2015-Present,,Republican,,
,Rohrabacher,,,,Ros-Lehtinen,,,,,,,,,,,,Roskam,,,,Ryan (OH),,,,,,,,,,,,,,,,Valadao,,,,Takano,,,,,,,,,,,,Schweikert,,,,Sensenbrenner,,,"Representative Raskin, Jamie",Maryland,24,,,House: 2017-Present,8,Democratic,,
,Rokita,,,,Roskam,,,,,,,,,,,,Ross,,,,Sánchez,,,,,,,,,,,,,,,,Vargas,,,,Taylor,,,,,,,,,,,,Scott (VA),,,,Serrano,,,"Representative Ratcliffe, John",Texas,48,-95.22867364,33.24933846,House: 2015-Present,4,Republican,,
,Rooney (FL),,,,Ross,,,,,,,,,,,,Rothfus,,,,Sarbanes,,,,,,,,,,,,,,,,Veasey,,,,Tenney,,,,,,,,,,,,"Scott, Austin",,,,Sewell (AL),,,"Representative Reed, Tom",New York,36,,,House: 2010-Present,23,Republican,,
,Ros-Lehtinen,,,,Rothfus,,,,,,,,,,,,Rouzer,,,,Scalise,,,,,,,,,,,,,,,,Velázquez,,,,Thompson (CA),,,,,,,,,,,,"Scott, David",,,,Shea-Porter,,,"Representative Reschenthaler, Guy",Pennsylvania,42,,,House: 2019-Present,14,Republican,0,0
,Roskam,,,,Rouzer,,,,,,,,,,,,Roybal-Allard,,,,Schakowsky,,,,,,,,,,,,,,,,Visclosky,,,,Thompson (PA),,,,,,,,,,,,Sensenbrenner,,,,Sherman,,,"Representative Rice, Tom",South Carolina,45,,,House: 2013-Present,7,Republican,,
,Ross,,,,Roybal-Allard,,,,,,,,,,,,Royce,,,,Schiff,,,,,,,,,,,,,,,,Wagner,,,,Thornberry,,,,,,,,,,,,Serrano,,,,Shimkus,,,"Representative Richmond, Cedric L.",Louisiana,22,,,House: 2011-Present,2,Democratic,,
,Rothfus,,,,Royce,,,,,,,,,,,,Ruiz,,,,Schneider,,,,,,,,,,,,,,,,Walberg,,,,Tipton,,,,,,,,,,,,Sessions,,,,Shuster,,,"Representative Riggleman, Denver",Virginia,51,,,House: 2019-Present,5,Republican,0,0
,Rouzer,,,,Ruiz,,,,,,,,,,,,Ruppersberger,,,,Schrader,,,,,,,,,,,,,,,,Walden,,,,Tonko,,,,,,,,,,,,Sewell (AL),,,,Simpson,,,"Representative Rogers, Harold",Kentucky,21,-82.98465251,37.54359081,House: 1981-Present,5,Republican,,
,Roybal-Allard,,,,Ruppersberger,,,,,,,,,,,,Rush,,,,Schweikert,,,,,,,,,,,,,,,,Walker,,,,Torres,,,,,,,,,,,,Shea-Porter,,,,Sinema,,,"Representative Rooney, Francis",Florida,12,,,House: 2017-Present,19,Republican,,
,Royce,,,,Rush,,,,,,,,,,,,Russell,,,,Scott (VA),,,,,,,,,,,,,,,,Walorski,,,,Turner,,,,,,,,,,,,Sherman,,,,Smith (MO),,,"Representative Rose, John W.",Tennessee,47,,,House: 2019-Present,6,Republican,0,0
,Ruiz,,,,Russell,,,,,,,,,,,,Ryan (OH),,,,"Scott, Austin",,,,,,,,,,,,,,,,"Walters, Mimi",,,,Upton,,,,,,,,,,,,Shimkus,,,,Smith (NE),,,"Representative Rose, Max",New York,36,,,House: 2019-Present,11,Democratic,0,0
,Ruppersberger,,,,Ryan (OH),,,,,,,,,,,,Salmon,,,,"Scott, David",,,,,,,,,,,,,,,,"Waters, Maxine",,,,Valadao,,,,,,,,,,,,Shuster,,,,Smith (NJ),,,"Representative Rouda, Harley",California,6,-122.0009334,37.90330502,House: 2019-Present,48,Democratic,0,0
,Rush,,,,Salmon,,,,,,,,,,,,"Sánchez, Linda T.",,,,Sensenbrenner,,,,,,,,,,,,,,,,Watson Coleman,,,,Vargas,,,,,,,,,,,,Simpson,,,,Smith (TX),,,"Representative Rouzer, David",North Carolina,37,,,House: 2015-Present,7,Republican,,
,Russell,,,,"Sánchez, Linda T.",,,,,,,,,,,,Sanford,,,,Serrano,,,,,,,,,,,,,,,,Weber (TX),,,,Vela,,,,,,,,,,,,Sinema,,,,Smith (WA),,,"Representative Roy, Chip",Texas,48,-99.09874918,29.97055619,House: 2019-Present,21,Republican,0,0
,Ryan (OH),,,,"Sanchez, Loretta",,,,,,,,,,,,Sarbanes,,,,Sessions,,,,,,,,,,,,,,,,Welch,,,,Visclosky,,,,,,,,,,,,Smith (MO),,,,Smucker,,,"Representative Roybal-Allard, Lucille",California,6,-118.1623954,33.96379859,House: 1993-Present,40,Democratic,,
,Salmon,,,,Sanford,,,,,,,,,,,,Scalise,,,,Sewell (AL),,,,,,,,,,,,,,,,Wenstrup,,,,Wagner,,,,,,,,,,,,Smith (NE),,,,Soto,,,"Representative Ruiz, Raul",California,6,-115.7703081,33.75315047,House: 2013-Present,36,Democratic,,
,"Sánchez, Linda T.",,,,Sarbanes,,,,,,,,,,,,Schakowsky,,,,Shea-Porter,,,,,,,,,,,,,,,,Westerman,,,,Walberg,,,,,,,,,,,,Smith (NJ),,,,Stefanik,,,"Representative Ruppersberger, C. A. Dutch",Maryland,24,,,House: 2003-Present,2,Democratic,,
,"Sanchez, Loretta",,,,Scalise,,,,,,,,,,,,Schiff,,,,Sherman,,,,,,,,,,,,,,,,Williams,,,,Walden,,,,,,,,,,,,Smith (TX),,,,Stewart,,,"Representative Rush, Bobby L.",Illinois,17,,,House: 1993-Present,1,Democratic,,
,Sarbanes,,,,Schakowsky,,,,,,,,,,,,Schrader,,,,Shimkus,,,,,,,,,,,,,,,,Wilson (SC),,,,Walker,,,,,,,,,,,,Smith (WA),,,,Stivers,,,"Representative Rutherford, John H.",Florida,12,,,House: 2017-Present,4,Republican,,
,Scalise,,,,Schiff,,,,,,,,,,,,Schweikert,,,,Shuster,,,,,,,,,,,,,,,,Wittman,,,,Walorski,,,,,,,,,,,,Smucker,,,,Suozzi,,,"Representative Ryan, Tim",Ohio,39,-80.80879512,41.12678625,House: 2003-Present,13,Democratic,,
,Schakowsky,,,,Schrader,,,,,,,,,,,,Scott (VA),,,,Simpson,,,,,,,,,,,,,,,,Womack,,,,"Walters, Mimi",,,,,,,,,,,,Soto,,,,Swalwell (CA),,,"Representative Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,,,,House: 2009-Present,,Democratic,,
,Schiff,,,,Schweikert,,,,,,,,,,,,"Scott, Austin",,,,Sinema,,,,,,,,,,,,,,,,Woodall,,,,Wasserman Schultz,,,,,,,,,,,,Speier,,,,Takano,,,"Representative San Nicolas, Michael F. Q.",Guam,,,,House: 2019-Present,,Democratic,0,0
,Schrader,,,,Scott (VA),,,,,,,,,,,,"Scott, David",,,,Sires,,,,,,,,,,,,,,,,Yarmuth,,,,Weber (TX),,,,,,,,,,,,Stefanik,,,,Taylor,,,"Representative Sanchez, Linda T.",California,6,-118.0374527,33.94334718,House: 2003-Present,38,Democratic,,
,Schweikert,,,,"Scott, Austin",,,,,,,,,,,,Sensenbrenner,,,,Smith (MO),,,,,,,,,,,,,,,,Yoder,,,,Webster (FL),,,,,,,,,,,,Stewart,,,,Tenney,,,"Representative Sarbanes, John P.",Maryland,24,,,House: 2007-Present,3,Democratic,,
,Scott (VA),,,,"Scott, David",,,,,,,,,,,,Sessions,,,,Smith (NE),,,,,,,,,,,,,,,,Young (AK),,,,Welch,,,,,,,,,,,,Stivers,,,,Thompson (CA),,,"Representative Scalise, Steve",Louisiana,22,,,House: 2008-Present,1,Republican,,
,"Scott, Austin",,,,Sensenbrenner,,,,,,,,,,,,Sewell (AL),,,,Smith (NJ),,,,,,,,,,,,,,,,Young (IA),,,,Wenstrup,,,,,,,,,,,,Suozzi,,,,Thompson (PA),,,"Representative Scanlon, Mary Gay",Pennsylvania,42,,,House: 2018-Present,5,Democratic,,
,Sensenbrenner,,,,Serrano,,,,,,,,,,,,Sherman,,,,Smith (TX),,,,,,,,,,,,,,,,Zeldin,,,,Westerman,,,,,,,,,,,,Takano,,,,Tipton,,,"Representative Schakowsky, Janice D.",Illinois,17,,,House: 1999-Present,9,Democratic,,
,Serrano,,,,Sessions,,,,,,,,,,,,Shimkus,,,,Smith (WA),,,,,,,,,,,,,,,,,,,,Williams,,,,,,,,,,,,Tenney,,,,Titus,,,"Representative Schiff, Adam B.",California,6,-118.3138593,34.25385453,House: 2001-Present,28,Democratic,,
,Sessions,,,,Sherman,,,,,,,,,,,,Shuster,,,,Smucker,,,,,,,,,,,,,,,,,,,,Wilson (FL),,,,,,,,,,,,Thompson (CA),,,,Tonko,,,"Representative Schneider, Bradley Scott",Illinois,17,,,"House: 2013-2015, 2017-Present",10,Democratic,,
,Sewell (AL),,,,Shimkus,,,,,,,,,,,,Simpson,,,,Soto,,,,,,,,,,,,,,,,,,,,Wilson (SC),,,,,,,,,,,,Thompson (MS),,,,Torres,,,"Representative Schrader, Kurt",Oregon,41,,,House: 2009-Present,5,Democratic,,
,Sherman,,,,Shuster,,,,,,,,,,,,Sinema,,,,Speier,,,,,,,,,,,,,,,,,,,,Wittman,,,,,,,,,,,,Thompson (PA),,,,Trott,,,"Representative Schrier, Kim",Washington,53,,,House: 2019-Present,8,Democratic,0,0
,Shimkus,,,,Simpson,,,,,,,,,,,,Sires,,,,Stefanik,,,,,,,,,,,,,,,,,,,,Womack,,,,,,,,,,,,Thornberry,,,,Upton,,,"Representative Schweikert, David",Arizona,4,,,House: 2011-Present,6,Republican,,
,Shuster,,,,Sinema,,,,,,,,,,,,Smith (MO),,,,Stewart,,,,,,,,,,,,,,,,,,,,Woodall,,,,,,,,,,,,Tipton,,,,Valadao,,,"Representative Scott, Austin",Georgia,13,,,House: 2011-Present,8,Republican,,
,Simpson,,,,Sires,,,,,,,,,,,,Smith (NE),,,,Stivers,,,,,,,,,,,,,,,,,,,,Yarmuth,,,,,,,,,,,,Tonko,,,,Veasey,,,"Representative Scott, David",Georgia,13,,,House: 2003-Present,13,Democratic,,
,Sinema,,,,Slaughter,,,,,,,,,,,,Smith (NJ),,,,Suozzi,,,,,,,,,,,,,,,,,,,,Yoder,,,,,,,,,,,,Torres,,,,Vela,,,"Representative Scott, Robert C. ""Bobby""",Virginia,51,,,House: 1993-Present,3,Democratic,,
,Sires,,,,Smith (MO),,,,,,,,,,,,Smith (TX),,,,Swalwell (CA),,,,,,,,,,,,,,,,,,,,Yoho,,,,,,,,,,,,Trott,,,,Velázquez,,,"Representative Sensenbrenner, F. James, Jr.",Wisconsin,55,,,House: 1979-Present,5,Republican,,
,Slaughter,,,,Smith (NE),,,,,,,,,,,,Smith (WA),,,,Takano,,,,,,,,,,,,,,,,,,,,Young (IA),,,,,,,,,,,,Tsongas,,,,Visclosky,,,"Representative Serrano, Jose E.",New York,36,,,House: 1989-Present,15,Democratic,,
,Smith (MO),,,,Smith (NJ),,,,,,,,,,,,Speier,,,,Taylor,,,,,,,,,,,,,,,,,,,,Zeldin,,,,,,,,,,,,Turner,,,,Wagner,,,"Representative Sewell, Terri A.",Alabama,1,,,House: 2011-Present,7,Democratic,,
,Smith (NE),,,,Smith (TX),,,,,,,,,,,,Stefanik,,,,Tenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upton,,,,Walberg,,,"Representative Shalala, Donna E.",Florida,12,,,House: 2019-Present,27,Democratic,0,0
,Smith (NJ),,,,Smith (WA),,,,,,,,,,,,Stewart,,,,Thompson (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valadao,,,,Walden,,,"Representative Sherman, Brad",California,6,-118.607777,34.22669516,House: 1997-Present,30,Democratic,,
,Smith (TX),,,,Speier,,,,,,,,,,,,Stivers,,,,Thompson (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vargas,,,,Walker,,,"Representative Sherrill, Mikie",New Jersey,34,,,House: 2019-Present,11,Democratic,0,0
,Smith (WA),,,,Stefanik,,,,,,,,,,,,Stutzman,,,,Thompson (PA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veasey,,,,Walorski,,,"Representative Shimkus, John",Illinois,17,,,House: 1997-Present,15,Republican,,
,Speier,,,,Stewart,,,,,,,,,,,,Swalwell (CA),,,,Thornberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vela,,,,"Walters, Mimi",,,"Representative Simpson, Michael K.",Idaho,16,,,House: 1999-Present,2,Republican,,
,Stefanik,,,,Stivers,,,,,,,,,,,,Takano,,,,Tipton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velázquez,,,,Walz,,,"Representative Sires, Albio",New Jersey,34,,,House: 2005-Present,8,Democratic,,
,Stewart,,,,Stutzman,,,,,,,,,,,,Thompson (CA),,,,Tonko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wagner,,,,Wasserman Schultz,,,"Representative Slotkin, Elissa",Michigan,26,,,House: 2019-Present,8,Democratic,0,0
,Stivers,,,,Swalwell (CA),,,,,,,,,,,,Thompson (MS),,,,Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walberg,,,,"Waters, Maxine",,,"Representative Smith, Adam",Washington,53,,,House: 1997-Present,9,Democratic,,
,Stutzman,,,,Takano,,,,,,,,,,,,Thompson (PA),,,,Trott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walden,,,,Watson Coleman,,,"Representative Smith, Adrian",Nebraska,31,-100.8782003,41.5018905,House: 2007-Present,3,Republican,,
,Swalwell (CA),,,,Thompson (CA),,,,,,,,,,,,Thornberry,,,,Tsongas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,,,Weber (TX),,,"Representative Smith, Christopher H.",New Jersey,34,,,House: 1981-Present,4,Republican,,
,Takai,,,,Thompson (MS),,,,,,,,,,,,Tiberi,,,,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walorski,,,,Webster (FL),,,"Representative Smith, Jason",Missouri,29,,,House: 2013-Present,8,Republican,,
,Takano,,,,Thompson (PA),,,,,,,,,,,,Tipton,,,,Upton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walters, Mimi",,,,Welch,,,"Representative Smucker, Lloyd",Pennsylvania,42,,,House: 2017-Present,11,Republican,,
,Thompson (CA),,,,Thornberry,,,,,,,,,,,,Titus,,,,Valadao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wasserman Schultz,,,,Wenstrup,,,"Representative Soto, Darren",Florida,12,,,House: 2017-Present,9,Democratic,,
,Thompson (MS),,,,Tiberi,,,,,,,,,,,,Tonko,,,,Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waters, Maxine",,,,Williams,,,"Representative Spanberger, Abigail Davis",Virginia,51,,,House: 2019-Present,7,Democratic,0,0
,Thompson (PA),,,,Tipton,,,,,,,,,,,,Torres,,,,Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watson Coleman,,,,Wilson (SC),,,"Representative Spano, Ross",Florida,12,,,House: 2019-Present,15,Republican,0,0
,Thornberry,,,,Titus,,,,,,,,,,,,Trott,,,,Velázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weber (TX),,,,Wittman,,,"Representative Speier, Jackie",California,6,-121.3479684,38.02159645,House: 2008-Present,14,Democratic,,
,Tiberi,,,,Tonko,,,,,,,,,,,,Tsongas,,,,Visclosky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webster (FL),,,,Womack,,,"Representative Stanton, Greg",Arizona,4,,,House: 2019-Present,9,Democratic,0,0
,Tipton,,,,Torres,,,,,,,,,,,,Turner,,,,Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welch,,,,Woodall,,,"Representative Stauber, Pete",Minnesota,27,,,House: 2019-Present,8,Republican,0,0
